author_id,nome,universidade,cidade,total_artigos_no_recorte,total_artigos_com_macroareas,macro_area_principal_no_recorte,macro_areas_no_recorte,num_macro_areas_no_recorte,macroarea_scores_no_recorte,macroarea_scores_por_tema_no_recorte,temas_no_recorte,total_temas_distintos_no_recorte,temas_no_recorte_com_contagem
10040418700,Reiber A.,"Universidad de Los Andes, Colombia",Bogota,1,1,Physics,Physics | Engineering,2,Physics:1 | Engineering:1,Physics:2 | Engineering:1,"Electronic, Optical and Magnetic Materials | Condensed Matter Physics",2,"Electronic, Optical and Magnetic Materials:1 | Condensed Matter Physics:1"
10043438600,Jacobus A.P.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,1,1,Biology,Biology | Chemistry,2,Biology:1 | Chemistry:1,Biology:2 | Chemistry:1,Biochemistry | Molecular Biology,2,Biochemistry:1 | Molecular Biology:1
10044272100,Camolesi L.,Universidade Estadual de Campinas,Campinas,1,1,Economics and Business,Economics and Business | Computer Science,2,Economics and Business:1 | Computer Science:1,Economics and Business:2 | Computer Science:1,"Economics, Econometrics and Finance (all) | Business, Management and Accounting (all) | Computer Science (all)",3,"Economics, Econometrics and Finance (all):1 | Business, Management and Accounting (all):1 | Computer Science (all):1"
10044311600,Fakhouri F.M.,Universitat Politècnica de Catalunya,Barcelona,7,7,Chemistry,Chemistry | Engineering | Biology | Medicine and Health | Social Sciences,5,Chemistry:6 | Engineering:6 | Biology:4 | Medicine and Health:2 | Social Sciences:1,Chemistry:10 | Biology:8 | Engineering:7 | Medicine and Health:3 | Social Sciences:1,"Chemistry (miscellaneous) | Food Science | Chemistry (all) | Polymers and Plastics | Analytical Chemistry | Molecular Medicine | Pharmaceutical Science | Drug Discovery | Physical and Theoretical Chemistry | Organic Chemistry | Agricultural and Biological Sciences (all) | Biochemistry, Genetics and Molecular Biology (all) | Engineering (all) | Medicine (all) | Engineering (miscellaneous) | Materials Science (miscellaneous) | Microbiology | Health (social science) | Health Professions (miscellaneous) | Plant Science",20,"Chemistry (miscellaneous):2 | Food Science:2 | Chemistry (all):2 | Polymers and Plastics:2 | Analytical Chemistry:1 | Molecular Medicine:1 | Pharmaceutical Science:1 | Drug Discovery:1 | Physical and Theoretical Chemistry:1 | Organic Chemistry:1 | Agricultural and Biological Sciences (all):1 | Biochemistry, Genetics and Molecular Biology (all):1 | Engineering (all):1 | Medicine (all):1 | Engineering (miscellaneous):1 | Materials Science (miscellaneous):1 | Microbiology:1 | Health (social science):1 | Health Professions (miscellaneous):1 | Plant Science:1"
10044784300,Lueke B.,Bayer AG,Leverkusen,1,1,Biology,Biology,1,Biology:1,Biology:1,Insect Science,1,Insect Science:1
10045081700,Costa A.G.F.,Embrapa Algodão,Campina Grande,1,1,Biology,Biology,1,Biology:1,Biology:2,Agronomy and Crop Science | Plant Science,2,Agronomy and Crop Science:1 | Plant Science:1
10045319200,Richiano S.,Centro Nacional Patagónico,Puerto Madryn,1,1,Geosciences,Geosciences | Biology,2,Geosciences:1 | Biology:1,Geosciences:3 | Biology:1,Geology | Stratigraphy | Paleontology,3,Geology:1 | Stratigraphy:1 | Paleontology:1
10045571300,Nagalingam A.,Johns Hopkins University School of Medicine,Baltimore,1,1,Biology,Biology | Chemistry | Engineering,3,Biology:1 | Chemistry:1 | Engineering:1,Biology:2 | Chemistry:1 | Engineering:1,Food Science | Molecular Biology,2,Food Science:1 | Molecular Biology:1
10046424800,Figueiredo G.,Universidade de Brasília,Brasília,9,9,Mathematics and Statistics,Mathematics and Statistics | Other/Unclassified,2,Mathematics and Statistics:8 | Other/Unclassified:5,Mathematics and Statistics:9 | Other/Unclassified:5,Applied Mathematics | Analysis | Mathematics (all) | Discrete Mathematics and Combinatorics,4,Applied Mathematics:5 | Analysis:5 | Mathematics (all):3 | Discrete Mathematics and Combinatorics:1
10138852200,Fronza M.,Universidade Vila Velha,Vila Velha,1,1,Chemistry,Chemistry | Biology,2,Chemistry:1 | Biology:1,Chemistry:2 | Biology:1,Analytical Chemistry | Biochemistry,2,Analytical Chemistry:1 | Biochemistry:1
10141156000,Reynolds R.F.,University of Birmingham,Birmingham,2,2,Medicine and Health,Medicine and Health | Biology | Undefined,3,Medicine and Health:1 | Biology:1 | Undefined:1,Medicine and Health:5 | Biology:1 | Undefined:1,Neuropsychology and Physiological Psychology | Neurology | Psychiatry and Mental Health | Biological Psychiatry | Behavioral Neuroscience | Multidisciplinary,6,Neuropsychology and Physiological Psychology:1 | Neurology:1 | Psychiatry and Mental Health:1 | Biological Psychiatry:1 | Behavioral Neuroscience:1 | Multidisciplinary:1
10141421300,Filho J.C.S.C.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:3,"Orthopedics and Sports Medicine | Physical Therapy, Sports Therapy and Rehabilitation | Rehabilitation",3,"Orthopedics and Sports Medicine:1 | Physical Therapy, Sports Therapy and Rehabilitation:1 | Rehabilitation:1"
10142248500,Zagonel L.F.,Universidade Estadual de Campinas,Campinas,1,1,Engineering,Engineering | Biology | Chemistry,3,Engineering:1 | Biology:1 | Chemistry:1,Engineering:5 | Biology:1 | Chemistry:1,Bioengineering | Chemistry (all) | Materials Science (all) | Mechanics of Materials | Mechanical Engineering | Electrical and Electronic Engineering,6,Bioengineering:1 | Chemistry (all):1 | Materials Science (all):1 | Mechanics of Materials:1 | Mechanical Engineering:1 | Electrical and Electronic Engineering:1
10143354000,Catharino R.R.,Universidade Estadual de Campinas,Campinas,1,1,Tie: Biology | Chemistry,Chemistry | Engineering | Biology,3,Chemistry:1 | Engineering:1 | Biology:1,Chemistry:1 | Engineering:1 | Biology:1,Food Science,1,Food Science:1
10143670400,Comba J.L.D.,Universidade Federal do Rio Grande do Sul,Porto Alegre,1,1,Computer Science,Computer Science | Engineering | Medicine and Health | Biology,4,Computer Science:1 | Engineering:1 | Medicine and Health:1 | Biology:1,Computer Science:3 | Engineering:2 | Medicine and Health:2 | Biology:1,Signal Processing | Biomedical Engineering | Computer Vision and Pattern Recognition | Health Informatics,4,Signal Processing:1 | Biomedical Engineering:1 | Computer Vision and Pattern Recognition:1 | Health Informatics:1
10144066900,Marandola E.,Universidade Estadual de Campinas,Campinas,2,2,Geosciences,Undefined | Economics and Business | Geosciences | Computer Science,4,Undefined:1 | Economics and Business:1 | Geosciences:1 | Computer Science:1,Geosciences:6 | Undefined:2 | Economics and Business:1 | Computer Science:1,"Decision Sciences (all) | Management Science and Operations Research | Geography, Planning and Development | Environmental Science (all) | Geophysics | Earth-Surface Processes | Computers in Earth Sciences | Atmospheric Science",8,"Decision Sciences (all):1 | Management Science and Operations Research:1 | Geography, Planning and Development:1 | Environmental Science (all):1 | Geophysics:1 | Earth-Surface Processes:1 | Computers in Earth Sciences:1 | Atmospheric Science:1"
10144113300,Carmona V.,Universidad de Sevilla,Sevilla,5,5,Mathematics and Statistics,Mathematics and Statistics | Computer Science | Engineering | Other/Unclassified,4,Mathematics and Statistics:4 | Computer Science:3 | Engineering:2 | Other/Unclassified:1,Mathematics and Statistics:5 | Computer Science:3 | Engineering:2 | Other/Unclassified:1,Applied Mathematics | Modeling and Simulation | Numerical Analysis | Engineering (all) | Control and Systems Engineering | Analysis | Computer Science Applications,7,Applied Mathematics:4 | Modeling and Simulation:2 | Numerical Analysis:1 | Engineering (all):1 | Control and Systems Engineering:1 | Analysis:1 | Computer Science Applications:1
10242521300,Gagie T.,Dalhousie University,Halifax,1,1,Tie: Computer Science | Mathematics and Statistics,Computer Science | Mathematics and Statistics,2,Computer Science:1 | Mathematics and Statistics:1,Computer Science:3 | Mathematics and Statistics:3,Theoretical Computer Science | Geometry and Topology | Computational Theory and Mathematics | Computational Mathematics | Applied Mathematics,5,Theoretical Computer Science:1 | Geometry and Topology:1 | Computational Theory and Mathematics:1 | Computational Mathematics:1 | Applied Mathematics:1
10244705900,D’ottaviano I.,Universidade Estadual de Campinas,Campinas,2,2,Philosophy and Humanities,Philosophy and Humanities | Mathematics and Statistics,2,Philosophy and Humanities:2 | Mathematics and Statistics:1,Philosophy and Humanities:2 | Mathematics and Statistics:1,Logic | Applied Mathematics | Philosophy,3,Logic:1 | Applied Mathematics:1 | Philosophy:1
10539970600,Garmes H.M.,Universidade Estadual de Campinas,Campinas,2,2,Medicine and Health,Medicine and Health,1,Medicine and Health:2,Medicine and Health:4,"Endocrinology, Diabetes and Metabolism | Endocrinology",2,"Endocrinology, Diabetes and Metabolism:2 | Endocrinology:2"
10540689200,Wohnrath Tognoli F.M.,Universidade do Vale do Rio dos Sinos,Sao Leopoldo,1,1,Geosciences,Geosciences,1,Geosciences:1,Geosciences:1,Geology,1,Geology:1
10639386400,Gómez H.W.,Universidad de Antofagasta,Antofagasta,1,1,Mathematics and Statistics,Mathematics and Statistics,1,Mathematics and Statistics:1,Mathematics and Statistics:1,Statistics and Probability,1,Statistics and Probability:1
10639703100,Saito D.,Universidade do Estado do Amazonas,Manaus,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:1,Dentistry (all),1,Dentistry (all):1
10640725400,Dudal D.,KU Leuven,Leuven,1,1,Undefined,Undefined,1,Undefined:1,Undefined:1,Multidisciplinary,1,Multidisciplinary:1
