eid,titulo,ano,source,author_id
2-s2.0-85177049867,"Contaminating dreams and resistances: The house, the screen and the between",2021,Urdimento,57200679366
2-s2.0-85177049867,"Contaminating dreams and resistances: The house, the screen and the between",2021,Urdimento,58699445500
2-s2.0-85177049867,"Contaminating dreams and resistances: The house, the screen and the between",2021,Urdimento,58700074200
2-s2.0-85177049867,"Contaminating dreams and resistances: The house, the screen and the between",2021,Urdimento,58699276900
2-s2.0-85112018034,Modeling of Ring Opening Polymerization: A short review with insights on how to develop the method of moments,2021,Chemical Engineering Science,57204075119
2-s2.0-85112018034,Modeling of Ring Opening Polymerization: A short review with insights on how to develop the method of moments,2021,Chemical Engineering Science,57226577471
2-s2.0-85112018034,Modeling of Ring Opening Polymerization: A short review with insights on how to develop the method of moments,2021,Chemical Engineering Science,57226568983
2-s2.0-85123030376,Physical aspects of orange essential oil-contaning particles after vacuum spray drying processing,2021,Food Chemistry X,57192710978
2-s2.0-85123030376,Physical aspects of orange essential oil-contaning particles after vacuum spray drying processing,2021,Food Chemistry X,6701462572
2-s2.0-85123030376,Physical aspects of orange essential oil-contaning particles after vacuum spray drying processing,2021,Food Chemistry X,12807827200
2-s2.0-85128718275,Paulo Freire in three law projects,2021,Latin American Journal of Discourse Studies,57612084500
2-s2.0-85121916623,New Insights on the Sodium Water-in-Salt Electrolyte and Carbon Electrode Interface from Electrochemistry and Operando Raman Studies,2021,ACS Applied Materials and Interfaces,57201721084
2-s2.0-85121916623,New Insights on the Sodium Water-in-Salt Electrolyte and Carbon Electrode Interface from Electrochemistry and Operando Raman Studies,2021,ACS Applied Materials and Interfaces,57224161143
2-s2.0-85121916623,New Insights on the Sodium Water-in-Salt Electrolyte and Carbon Electrode Interface from Electrochemistry and Operando Raman Studies,2021,ACS Applied Materials and Interfaces,57201732322
2-s2.0-85121916623,New Insights on the Sodium Water-in-Salt Electrolyte and Carbon Electrode Interface from Electrochemistry and Operando Raman Studies,2021,ACS Applied Materials and Interfaces,7202897606
2-s2.0-85121916623,New Insights on the Sodium Water-in-Salt Electrolyte and Carbon Electrode Interface from Electrochemistry and Operando Raman Studies,2021,ACS Applied Materials and Interfaces,55022701000
2-s2.0-85121829749,Adsorption of lysozyme into a charged confining pore,2021,Physical Chemistry Chemical Physics,55788981600
2-s2.0-85121829749,Adsorption of lysozyme into a charged confining pore,2021,Physical Chemistry Chemical Physics,55146842500
2-s2.0-85121829749,Adsorption of lysozyme into a charged confining pore,2021,Physical Chemistry Chemical Physics,8898445000
2-s2.0-85121829749,Adsorption of lysozyme into a charged confining pore,2021,Physical Chemistry Chemical Physics,13806985600
2-s2.0-85121030186,Spatial Separation of Plasmonic Hot-Electron Generation and a Hydrodehalogenation Reaction Center Using a DNA Wire,2021,ACS Nano,55341478400
2-s2.0-85121030186,Spatial Separation of Plasmonic Hot-Electron Generation and a Hydrodehalogenation Reaction Center Using a DNA Wire,2021,ACS Nano,57214141217
2-s2.0-85121030186,Spatial Separation of Plasmonic Hot-Electron Generation and a Hydrodehalogenation Reaction Center Using a DNA Wire,2021,ACS Nano,12772219800
2-s2.0-85122209024,A critical review on circular and regenerative urban areas,2021,Iop Conference Series Earth and Environmental Science,57395467100
2-s2.0-85122209024,A critical review on circular and regenerative urban areas,2021,Iop Conference Series Earth and Environmental Science,24381682400
2-s2.0-85122198340,Review of archetype development strategies for energy assessment at urban scale,2021,Iop Conference Series Earth and Environmental Science,57209198882
