author_id,author_name,university,city,author_primary_macroarea,author_macroareas,author_topics,article_count,communityId,betweenness
10040418700,Reiber A.,"Universidad de Los Andes, Colombia",Bogota,Physics,Physics | Engineering,"Electronic, Optical and Magnetic Materials | Condensed Matter Physics",1,5541,0.0
10043438600,Jacobus A.P.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Biology,Biology | Chemistry,Biochemistry | Molecular Biology,1,10302,0.0
10044272100,Camolesi L.,Universidade Estadual de Campinas,Campinas,Economics and Business,Economics and Business | Computer Science,"Economics, Econometrics and Finance (all) | Business, Management and Accounting (all) | Computer Science (all)",1,21322,0.0
10044311600,Fakhouri F.M.,Universitat Politècnica de Catalunya,Barcelona,Chemistry,Chemistry | Engineering | Biology | Medicine and Health | Social Sciences,"Chemistry (miscellaneous) | Food Science | Chemistry (all) | Polymers and Plastics | Analytical Chemistry | Molecular Medicine | Pharmaceutical Science | Drug Discovery | Physical and Theoretical Chemistry | Organic Chemistry | Agricultural and Biological Sciences (all) | Biochemistry, Genetics and Molecular Biology (all) | Engineering (all) | Medicine (all) | Engineering (miscellaneous) | Materials Science (miscellaneous) | Microbiology | Health (social science) | Health Professions (miscellaneous) | Plant Science",7,10326,10836.213051403285
10044784300,Lueke B.,Bayer AG,Leverkusen,Biology,Biology,Insect Science,1,3200,0.0
10045081700,Costa A.G.F.,Embrapa Algodão,Campina Grande,Biology,Biology,Agronomy and Crop Science | Plant Science,1,2250,0.0
10045319200,Richiano S.,Centro Nacional Patagónico,Puerto Madryn,Geosciences,Geosciences | Biology,Geology | Stratigraphy | Paleontology,1,3200,0.0
10045571300,Nagalingam A.,Johns Hopkins University School of Medicine,Baltimore,Biology,Biology | Chemistry | Engineering,Food Science | Molecular Biology,1,23890,0.0
10046424800,Figueiredo G.,Universidade de Brasília,Brasília,Mathematics and Statistics,Mathematics and Statistics | Other/Unclassified,Applied Mathematics | Analysis | Mathematics (all) | Discrete Mathematics and Combinatorics,9,17147,0.5
10138852200,Fronza M.,Universidade Vila Velha,Vila Velha,Chemistry,Chemistry | Biology,Analytical Chemistry | Biochemistry,1,10326,0.0
10141156000,Reynolds R.F.,University of Birmingham,Birmingham,Medicine and Health,Medicine and Health | Biology | Undefined,Neuropsychology and Physiological Psychology | Neurology | Psychiatry and Mental Health | Biological Psychiatry | Behavioral Neuroscience | Multidisciplinary,2,3411,0.0
10141421300,Filho J.C.S.C.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Medicine and Health,Medicine and Health,"Orthopedics and Sports Medicine | Physical Therapy, Sports Therapy and Rehabilitation | Rehabilitation",1,2208,0.0
10142248500,Zagonel L.F.,Universidade Estadual de Campinas,Campinas,Engineering,Engineering | Biology | Chemistry,Bioengineering | Chemistry (all) | Materials Science (all) | Mechanics of Materials | Mechanical Engineering | Electrical and Electronic Engineering,1,10729,0.0
10143354000,Catharino R.R.,Universidade Estadual de Campinas,Campinas,Tie: Biology | Chemistry,Chemistry | Engineering | Biology,Food Science,1,10813,0.0
10143670400,Comba J.L.D.,Universidade Federal do Rio Grande do Sul,Porto Alegre,Computer Science,Computer Science | Engineering | Medicine and Health | Biology,Signal Processing | Biomedical Engineering | Computer Vision and Pattern Recognition | Health Informatics,1,9364,0.0
10144066900,Marandola E.,Universidade Estadual de Campinas,Campinas,Geosciences,Undefined | Economics and Business | Geosciences | Computer Science,"Decision Sciences (all) | Management Science and Operations Research | Geography, Planning and Development | Environmental Science (all) | Geophysics | Earth-Surface Processes | Computers in Earth Sciences | Atmospheric Science",2,2350,17772.0
10144113300,Carmona V.,Universidad de Sevilla,Sevilla,Mathematics and Statistics,Mathematics and Statistics | Computer Science | Engineering | Other/Unclassified,Applied Mathematics | Modeling and Simulation | Numerical Analysis | Engineering (all) | Control and Systems Engineering | Analysis | Computer Science Applications,5,9405,0.0
10242521300,Gagie T.,Dalhousie University,Halifax,Tie: Computer Science | Mathematics and Statistics,Computer Science | Mathematics and Statistics,Theoretical Computer Science | Geometry and Topology | Computational Theory and Mathematics | Computational Mathematics | Applied Mathematics,1,9364,0.0
