author_id_source,author_name_source,macroarea_source,author_id_target,author_name_target,macroarea_target,same_macroarea,edge_betweenness
14831722300,Lima D.A.N.L.,Medicine and Health,57201607778,R. Leonardi G.,Medicine and Health,True,4808830.603376
57201607778,R. Leonardi G.,Medicine and Health,6603267575,Velho P.E.N.F.,Medicine and Health,True,4588392.481807
16306368600,Capitani C.D.,Tie: Biology | Medicine and Health,55981667500,De Assumpção D.,Medicine and Health,False,4368491.111102
35328091000,da Silva J.V.L.,Computer Science,6603271904,d’Ávila M.A.,Engineering,False,4340172.411788
35328091000,da Silva J.V.L.,Computer Science,6506736837,Pedrini H.,Computer Science,True,4326461.593318
23093346600,Forti L.R.,Biology,26638969400,Masiero B.,Engineering,False,4179365.434192
23093346600,Forti L.R.,Biology,7003557544,Toledo L.F.,Biology,True,4099306.800219
26638969400,Masiero B.,Engineering,35556063400,De Alencar Lotufo R.,Computer Science,False,4035176.750151
14831722300,Lima D.A.N.L.,Medicine and Health,23003258800,Bicas J.L.,Biology,False,3955012.936175
16306368600,Capitani C.D.,Tie: Biology | Medicine and Health,7004835587,Velloso L.A.,Medicine and Health,False,3943283.371816
6603267575,Velho P.E.N.F.,Medicine and Health,7004405540,Reis F.,Medicine and Health,True,3933064.185055
16306368600,Capitani C.D.,Tie: Biology | Medicine and Health,57190026512,Strieder M.M.,Chemistry,False,3572501.575425
35556063400,De Alencar Lotufo R.,Computer Science,6506736837,Pedrini H.,Computer Science,True,3571223.228837
16417179800,Misuta M.S.,Medicine and Health,7005091934,Okabe E.P.,Engineering,False,3508916.644968
55989421700,Moraes B.S.,Engineering,56910252000,Anholon R.,Economics and Business,False,3440145.357488
35611272000,de Oliveira V.M.,Biology,7101975791,Romero G.Q.,Biology,True,3433687.271453
7004405540,Reis F.,Medicine and Health,7006331391,Falcão A.X.,Computer Science,False,3239331.812817
16417179800,Misuta M.S.,Medicine and Health,54685141100,Scaglia A.J.,Social Sciences,False,3228279.9473
40262892000,Zorzeto-Cesar T.Q.,Biology,8270443200,da Silva A.J.,Geosciences,False,3227482.018954
55981667500,De Assumpção D.,Medicine and Health,6504123736,Surita F.G.,Medicine and Health,True,3212739.220986
35546900100,Attux R.,Computer Science,40262892000,Zorzeto-Cesar T.Q.,Biology,False,3189764.012402
6506645414,Sachetto Z.,Medicine and Health,7004405540,Reis F.,Medicine and Health,True,3069064.64718
23003258800,Bicas J.L.,Biology,57201607778,R. Leonardi G.,Medicine and Health,False,2976392.966245
57201607778,R. Leonardi G.,Medicine and Health,6603271904,d’Ávila M.A.,Engineering,False,2960401.98927
14123842600,Badan Ribeiro A.P.,Engineering,16306368600,Capitani C.D.,Tie: Biology | Medicine and Health,False,2949599.783344
16432457600,Florindo J.,Computer Science,57201607778,R. Leonardi G.,Medicine and Health,False,2905334.364764
12807827200,Prata A.S.,Engineering,7801313564,Christianini A.V.,Biology,False,2901086.122484
14037194400,Fávaro W.J.,Medicine and Health,6602672295,Riccetto C.L.Z.,Medicine and Health,True,2890957.707203
7004030554,Cardoso T.M.,Medicine and Health,7004405540,Reis F.,Medicine and Health,True,2881681.473392
55989421700,Moraes B.S.,Engineering,7004357973,Franco T.T.,Engineering,True,2817000.674075
35549642300,Dias C.T.S.,Medicine and Health,8270443200,da Silva A.J.,Geosciences,False,2795838.027662
12807248900,Mori M.A.,Biology,7004835587,Velloso L.A.,Medicine and Health,False,2766894.282935
14831722300,Lima D.A.N.L.,Medicine and Health,57209087382,Ambrosano G.M.B.,Medicine and Health,True,2745421.45954
55581041300,Cazarin C.B.B.,Biology,57196465756,Schumacher F.L.,Mathematics and Statistics,False,2713326.0
7003732915,Maciel Filho R.,Engineering,7004481112,Annichino-Bizzacchi J.M.,Medicine and Health,False,2670783.782181
26638969400,Masiero B.,Engineering,6602452399,Fruett F.,Engineering,True,2637122.423439
6506626752,Durigan G.,Biology,7801313564,Christianini A.V.,Biology,True,2636173.931537
12807827200,Prata A.S.,Engineering,6701462572,Silveira Júnior V.,Engineering,True,2631487.59931
35548015700,Sawaya A.C.H.F.,Biology,55936865800,Barros N.F.d.,Medicine and Health,False,2621945.207119
24172674100,Rittner L.,Computer Science,7004405540,Reis F.,Medicine and Health,False,2618652.033513
12807827200,Prata A.S.,Engineering,6603271904,d’Ávila M.A.,Engineering,True,2592080.520108
35548015700,Sawaya A.C.H.F.,Biology,56462886200,Graciano D.S.,Biology,True,2505186.871857
16306368600,Capitani C.D.,Tie: Biology | Medicine and Health,35568764200,Barros M.B.D.A.,Medicine and Health,False,2399803.541598
26638969400,Masiero B.,Engineering,6603267560,Serpa A.L.,Engineering,True,2392177.540513
14619829600,Vidal A.C.,Geosciences,6506736837,Pedrini H.,Computer Science,False,2353419.56197
48360967300,da Silveira J.M.F.J.,Economics and Business,7004357973,Franco T.T.,Engineering,False,2327272.810633
54383241100,Forte M.B.S.,Engineering,7004357973,Franco T.T.,Engineering,True,2305945.457461
35611272000,de Oliveira V.M.,Biology,8270443200,da Silva A.J.,Geosciences,False,2281078.651481
16039416600,Goldbeck R.,Biology,6603790113,Skaf M.S.,Chemistry,False,2254337.905032
6506645414,Sachetto Z.,Medicine and Health,7004481112,Annichino-Bizzacchi J.M.,Medicine and Health,True,2241987.734586
12807248900,Mori M.A.,Biology,56703319900,Sardeli A.V.,Medicine and Health,False,2209556.12132
24172674100,Rittner L.,Computer Science,35556063400,De Alencar Lotufo R.,Computer Science,True,2209520.2572
55312463700,Jales R.M.,Medicine and Health,57201607778,R. Leonardi G.,Medicine and Health,True,2206864.757864
54685141100,Scaglia A.J.,Social Sciences,56380525500,Galatti L.R.,Social Sciences,True,2190885.249213
16022096800,González-López V.A.,Physics,57604197100,de Moraes R.R.,Tie: Medicine and Health | Social Sciences,False,2136106.74699
56385629000,Torres R.d.S.,Computer Science,6506736837,Pedrini H.,Computer Science,True,2074738.78896
35546900100,Attux R.,Computer Science,56674631200,Guillardi H.,Computer Science,True,2064189.488767
59470789100,Orellana-Iniguez J.P.,Engineering,7004578182,Hernandez-Figueroa H.E.,Engineering,True,2059574.530911
12141305200,Manera L.,Engineering,7005228726,Swart J.,Engineering,True,2030308.464838
14019420400,Francisco P.M.S.B.,Medicine and Health,57604197100,de Moraes R.R.,Tie: Medicine and Health | Social Sciences,False,2006206.323224
23091409000,Mei L.H.I.,Engineering,55842599300,Silva E.K.,Chemistry,False,1995487.57192
26649163500,Perrechil F.,Chemistry,57201607778,R. Leonardi G.,Medicine and Health,False,1979811.053943
26638969400,Masiero B.,Engineering,53063493500,Colella-Santos M.F.,Medicine and Health,False,1963641.96698
14019420400,Francisco P.M.S.B.,Medicine and Health,56235236300,Onocko-Campos R.T.,Medicine and Health,True,1961311.786676
23091409000,Mei L.H.I.,Engineering,7004578182,Hernandez-Figueroa H.E.,Engineering,True,1955842.024269
35548015700,Sawaya A.C.H.F.,Biology,7102231043,Pastore G.M.,Biology,True,1950820.205809
6603790113,Skaf M.S.,Chemistry,7006020996,Araujo G.,Computer Science,False,1943137.058603
7006139983,Cardoso L.P.,Chemistry,8637854300,Carvalho A.M.G.,Engineering,False,1934657.416387
35306973000,Fileti A.M.F.,Engineering,6603267560,Serpa A.L.,Engineering,True,1914781.001687
21833487900,Alves L.C.,Medicine and Health,35568764200,Barros M.B.D.A.,Medicine and Health,True,1912359.803212
6602452399,Fruett F.,Engineering,7005228726,Swart J.,Engineering,True,1910516.350585
7003467120,Amaral E.,Medicine and Health,8059496300,Brito L.G.O.,Medicine and Health,True,1902042.244324
35546900100,Attux R.,Computer Science,57191604670,Duarte L.,Computer Science,True,1877007.419749
35546900100,Attux R.,Computer Science,57219584344,Bassi P.R.A.S.,Biology,False,1871694.827045
57219584344,Bassi P.R.A.S.,Biology,6504280283,Dertkigil S.,Tie: Biology | Medicine and Health,False,1865826.803524
55936865800,Barros N.F.d.,Medicine and Health,56841143500,da Silva R.A.,Social Sciences,False,1851276.742204
14019420400,Francisco P.M.S.B.,Medicine and Health,56841143500,da Silva R.A.,Social Sciences,False,1847413.834365
36340568700,Montagner C.C.,Geosciences,36462533600,Hantao L.W.,Chemistry,False,1841224.544267
6603271904,d’Ávila M.A.,Engineering,7006188042,Moraes Â.M.,Engineering,True,1835850.927976
14831722300,Lima D.A.N.L.,Medicine and Health,35549642300,Dias C.T.S.,Medicine and Health,True,1831712.653049
56462886200,Graciano D.S.,Biology,7202534688,Ribeiro R.V.,Biology,True,1810381.625856
12807827200,Prata A.S.,Engineering,57190026512,Strieder M.M.,Chemistry,False,1794876.499279
16432457600,Florindo J.,Computer Science,35145814800,Esmi E.,Computer Science,True,1792807.402157
57209087382,Ambrosano G.M.B.,Medicine and Health,57211393824,Ambrosano G.B.,Biology,False,1783195.775352
7003450280,Altemani A.,Medicine and Health,7004405540,Reis F.,Medicine and Health,True,1778389.129429
14831722300,Lima D.A.N.L.,Medicine and Health,7202369029,Lopes M.A.,Medicine and Health,True,1742316.849331
