communityId,tamanho_comunidade,macroarea_dominante,autores_equivalentes,proporcao_percentual
5541,583,Engineering,394.0,67.58
2636,529,Biology,476.83,90.14
415,473,Biology,200.67,42.42
21649,444,Medicine and Health,424.5,95.61
10045,442,Economics and Business,210.42,47.61
23890,422,Biology,194.17,46.01
10326,420,Chemistry,177.0,42.14
22111,417,Chemistry,121.5,29.14
5256,408,Medicine and Health,251.33,61.6
9405,396,Mathematics and Statistics,170.75,43.12
23597,394,Biology,299.83,76.1
8961,371,Medicine and Health,338.17,91.15
24769,362,Medicine and Health,281.33,77.72
11067,352,Chemistry,169.0,48.01
22640,344,Chemistry,171.5,49.85
