author_id,author_name,macroarea_principal,communityId,betweenness
7004405540,Reis F.,Medicine and Health,1330,15454271.335814036
57201607778,R. Leonardi G.,Medicine and Health,9147,12270276.714349892
6506736837,Pedrini H.,Computer Science,9364,11620659.285303663
16306368600,Capitani C.D.,Tie: Biology | Medicine and Health,11067,10208856.28091169
14831722300,Lima D.A.N.L.,Medicine and Health,24769,9439927.499492599
26638969400,Masiero B.,Engineering,5541,9070132.82358413
12807827200,Prata A.S.,Engineering,10326,8998581.051314611
35546900100,Attux R.,Computer Science,2350,8544335.280766113
7003732915,Maciel Filho R.,Engineering,22111,8465025.608027034
23003258800,Bicas J.L.,Biology,23890,8184802.746703625
7004357973,Franco T.T.,Engineering,22111,7396709.31607308
7102879500,Cunha R.L.,Chemistry,10326,7386556.879589295
6603271904,d’Ávila M.A.,Engineering,9147,7254685.657608487
35556063400,De Alencar Lotufo R.,Computer Science,1330,7249014.783396849
8059496300,Brito L.G.O.,Medicine and Health,21649,6997948.221071189
