autor,Frac. outra comm.,Frac. outra area,Frac. ext. outra area,perfil
Reis F.,0.235,0.235,0.208,Central local
R. Leonardi G.,0.227,0.273,0.5,Ponte interarea moderada
Pedrini H.,0.134,0.237,0.231,Central local
Capitani C.D.,0.6,1.0,1.0,Ponte interarea forte
Lima D.A.N.L.,0.167,0.167,0.25,Central local
Masiero B.,0.295,0.841,0.846,Ponte interarea forte
Prata A.S.,0.264,0.717,0.5,Ponte interarea moderada
Attux R.,0.194,0.419,0.667,Ponte interarea moderada
Maciel Filho R.,0.165,0.619,0.625,Ponte interarea moderada
Bicas J.L.,0.149,0.468,0.857,Ponte interarea forte
Franco T.T.,0.348,0.609,0.75,Ponte interarea forte
Cunha R.L.,0.316,0.608,0.56,Ponte interarea moderada
d’Ávila M.A.,0.412,0.588,0.714,Ponte interarea forte
De Alencar Lotufo R.,0.233,0.133,0.429,Ponte interarea moderada
Brito L.G.O.,0.049,0.012,0.25,Central local
